rank	lemma	PoS	freq	perMil	%caps	%allC	range	disp	blog	web	TVM	spok	fic	mag	news	acad	blogPM	webPM	TVMPM	spokPM	ficPM	magPM	newsPM	acadPM
32	or	c	3420339	3444.37	0.05	0.00	388852	0.97	544381	615949	222742	350584	291839	506264	350828	537759	4381.21	4789.15	1739.16	2779.42	2466.48	4015.06	2881.73	4489.16
33	by	i	3372222	3395.92	0.06	0.01	407820	0.97	447119	567574	153578	279169	270187	530966	483147	640482	3598.44	4413.03	1199.13	2213.25	2283.49	4210.97	3968.61	5346.69
34	get	v	3347615	3371.14	0.07	0.01	342423	0.98	396016	324041	1120107	561979	371205	261423	262378	50466	3187.16	2519.50	8745.74	4455.36	3137.24	2073.29	2155.20	421.29
35	she	p	3188078	3210.48	0.32	0.00	206627	0.93	181410	217759	483074	354703	1283180	285458	295580	87513	1460.00	1693.13	3771.82	2812.08	10844.81	2263.90	2427.92	730.55
36	my	a	3106939	3128.77	0.15	0.01	258405	0.97	457468	367808	870988	296965	630538	257836	146377	78959	3681.73	2859.80	6800.63	2354.33	5329.00	2044.84	1202.35	659.14
37	can	v	3091046	3113.52	0.06	0.01	372375	0.99	464677	431094	672390	391893	241956	369020	251339	269429	3739.74	3351.86	5249.99	3106.92	2044.89	2926.61	2064.52	2249.17
38	as	c	2946119	2966.82	0.11	0.00	386184	0.98	407661	437445	165518	311787	479789	386427	317605	439901	3280.88	3401.24	1292.36	2471.84	4054.94	3064.66	2608.84	3672.25
39	know	v	2761628	2781.03	0.02	0.01	311250	0.96	257222	234438	869416	647206	367114	165205	145809	75218	2070.14	1822.81	6788.36	5131.03	3102.67	1310.20	1197.69	627.91
40	if	c	2709809	2728.85	0.33	0.01	359736	0.98	465404	429495	427797	386767	327523	289531	225867	157440	3745.60	3339.43	3340.22	3066.28	2768.06	2296.20	1855.29	1314.30
41	me	p	2638743	2657.28	0.03	0.01	234578	0.96	268590	236154	1070608	281379	487758	152914	98978	42613	2161.63	1836.16	8359.26	2230.77	4122.29	1212.73	813.01	355.73
42	your	a	2577505	2595.62	0.09	0.01	261375	0.97	408226	381586	794875	282931	233469	340892	95946	39580	3285.42	2966.93	6206.35	2243.07	1973.17	2703.54	788.11	330.41
43	all	d	2503556	2521.15	0.11	0.01	369077	0.99	387405	376774	403028	357227	309205	255314	208769	205834	3117.86	2929.51	3146.82	2832.09	2613.25	2024.84	1714.85	1718.28
44	who	p	2493429	2510.95	0.07	0.00	360135	0.98	346376	337854	272080	376297	233942	304933	404977	217096	2787.65	2626.90	2124.39	2983.27	1977.16	2418.35	3326.52	1812.30
45	about	i	2427703	2444.76	0.02	0.01	350741	0.98	360952	299486	409194	484896	248131	235278	231251	158515	2904.96	2328.58	3194.97	3844.24	2097.08	1865.94	1899.52	1323.27
46	their	a	2417058	2434.04	0.03	0.00	352482	0.97	357119	354286	100704	252332	253044	346870	321779	430924	2874.11	2754.66	786.29	2000.48	2138.60	2750.95	2643.12	3597.31
47	will	v	2372215	2391.52	0.03	0.01	378558	0.98	516879	471475	738130	452535	294869	349910	369056	174365	4159.87	3665.83	5763.28	3587.69	2492.09	2775.06	3031.46	1455.58
48	so	r	2369749	2382.89	0.36	0.01	329537	0.97	331495	280321	536062	508945	264477	198712	153600	92647	2667.89	2179.56	4185.55	4034.90	2235.23	1575.94	1261.68	773.41
49	would	v	2349400	2365.91	0.03	0.00	326647	0.98	363538	321852	285080	345640	366729	231625	247188	187748	2925.77	2502.48	2225.89	2740.23	3099.41	1836.97	2030.43	1567.30
50	make	v	2290830	2306.93	0.04	0.01	373164	0.99	354762	331100	309638	288675	261210	308968	257859	178618	2855.14	2574.38	2417.64	2288.61	2207.62	2450.35	2118.08	1491.09
51	just	r	2270900	2286.86	0.12	0.01	324879	0.98	310082	249123	648084	416354	249795	184709	161875	50878	2495.56	1936.99	5060.21	3300.85	2111.14	1464.89	1329.66	424.72
52	up	r	2108756	2123.57	0.02	0.01	344761	0.98	252130	229187	423310	282727	390042	248359	212443	70558	2029.16	1781.99	3305.18	2241.45	3296.44	1969.68	1745.03	589.01
53	think	v	2077762	2092.36	0.03	0.01	279321	0.96	277523	212045	481246	538936	262491	125111	127956	52454	2233.52	1648.70	3757.55	4272.67	2218.44	992.23	1051.04	437.88
54	time	n	2018725	2032.91	0.07	0.01	358945	0.99	286726	282259	282058	274861	242528	249406	222687	178201	2307.59	2194.63	2202.30	2179.09	2049.73	1977.98	1829.17	1487.61
55	there	e	1980173	1994.09	0.36	0.00	333241	0.98	277871	253845	277096	424023	215316	190643	191696	149683	2236.32	1973.71	2163.55	3361.64	1819.74	1511.95	1574.61	1249.54
56	see	v	1958700	1972.46	0.07	0.01	316886	0.99	235722	221834	412539	299059	314598	174887	145682	154379	1897.10	1724.81	3221.09	2370.93	2658.83	1386.99	1196.65	1288.74
57	her	a	1931189	1944.76	0.08	0.00	189896	0.91	118918	153996	143326	159517	847670	214985	197352	95425	957.06	1197.36	1119.08	1264.65	7164.09	1705.00	1621.07	796.60
58	as	i	1880190	1893.40	0.10	0.00	350681	0.96	269086	299073	57768	150972	116950	293297	271558	421486	2165.62	2325.37	451.05	1196.90	988.40	2326.07	2230.60	3518.53
59	out	r	1828593	1841.44	0.02	0.01	331489	0.99	235680	207572	354037	276511	313329	198257	171242	71965	1896.76	1613.92	2764.30	2192.17	2648.10	1572.33	1406.60	600.76
60	one	m	1816593	1829.36	0.17	0.01	355952	0.99	228707	237429	208980	261251	228240	250556	222528	178902	1840.65	1846.07	1631.71	2071.19	1928.97	1987.10	1827.87	1493.46
61	come	v	1802158	1814.82	0.14	0.01	311577	0.98	171016	168302	521251	295282	266614	156763	155514	67416	1376.35	1308.59	4069.90	2340.99	2253.29	1243.25	1277.41	562.78
62	people	n	1800205	1812.85	0.08	0.00	292242	0.96	320900	271058	158411	426947	114604	185913	207833	114539	2582.62	2107.54	1236.87	3384.83	968.58	1474.43	1707.16	956.16
63	take	v	1768822	1780.53	0.06	0.01	340154	0.99	218772	214958	325775	250384	255469	199624	189159	113963	1760.69	1671.35	2543.64	1985.04	2159.10	1583.17	1553.77	951.35
64	year	n	1729962	1742.14	0.03	0.00	334783	0.97	237333	224012	116356	244660	126535	273350	359534	148348	1910.07	1741.75	908.50	1939.66	1069.41	2167.88	2953.25	1238.40
65	him	p	1717209	1729.27	0.02	0.01	212743	0.96	130755	179631	387805	205962	484746	136754	147857	43738	1052.32	1396.68	3027.96	1632.86	4096.83	1084.56	1214.51	365.12
66	them	p	1701589	1713.54	0.01	0.00	309265	0.98	240991	235855	219619	248349	280981	192661	161736	121459	1939.51	1833.83	1714.77	1968.91	2374.71	1527.95	1328.51	1013.93
67	some	d	1684262	1696.10	0.12	0.00	334036	0.99	247645	224239	221316	280933	169622	195601	190129	154777	1993.06	1743.51	1728.03	2227.23	1433.56	1551.27	1561.74	1292.06
68	want	v	1671524	1683.27	0.03	0.01	274583	0.99	200580	172649	504967	294589	203226	126328	131140	38045	1614.28	1342.39	3942.76	2335.49	1717.57	1001.88	1077.20	317.60
69	how	r	1666469	1678.18	0.29	0.01	305469	0.99	241744	213770	367136	252931	190201	161396	120413	118878	1945.57	1662.11	2866.58	2005.23	1607.49	1279.99	989.08	992.38
70	when	c	1650353	1661.95	0.27	0.00	337307	0.98	227012	232622	175428	222996	236809	229436	191678	134384	1827.00	1808.69	1369.73	1767.91	2001.39	1819.60	1574.46	1121.83
71	which	d	1613281	1624.62	0.04	0.00	331057	0.97	230112	288578	65382	168335	127167	234786	196270	302651	1851.95	2243.76	510.50	1334.56	1074.75	1862.03	1612.18	2526.50
72	now	r	1601991	1613.25	0.25	0.01	298107	0.98	170326	152646	379274	362721	203043	141123	138169	54689	1370.79	1186.86	2961.35	2875.64	1716.02	1119.21	1134.93	456.54
73	like	i	1583444	1594.57	0.06	0.01	299261	0.98	215728	179279	300992	224101	277256	185286	137492	63310	1736.19	1393.94	2350.13	1776.67	2343.23	1469.46	1129.37	528.51
74	other	j	1539952	1550.77	0.04	0.00	313844	0.97	233514	248296	83919	172640	141838	208396	197661	253693	1879.33	1930.56	655.24	1368.69	1198.74	1652.74	1623.61	2117.81
75	could	v	1529795	1540.54	0.03	0.00	295499	0.98	172936	166121	247799	180303	333318	164533	152742	112043	1391.80	1291.63	1934.80	1429.44	2817.04	1304.87	1254.64	935.32
76	our	a	1467955	1478.27	0.10	0.01	265980	0.98	240097	216443	197889	243455	132567	185248	126843	125413	1932.31	1682.90	1545.11	1930.11	1120.39	1469.16	1041.90	1046.94
77	into	i	1461573	1471.84	0.01	0.00	320692	0.97	166357	180579	116723	148138	307439	226767	171399	144171	1338.85	1404.05	911.37	1174.43	2598.32	1798.44	1407.89	1203.53
78	here	r	1413594	1423.53	0.15	0.01	241506	0.96	129327	109368	549977	279008	154237	71568	82139	37970	1040.83	850.36	4294.19	2211.97	1303.54	567.59	674.70	316.97
79	then	r	1344434	1353.88	0.21	0.00	280169	0.98	171776	170608	192490	182776	291874	148472	105181	81258	1382.46	1326.52	1502.95	1449.04	2466.78	1177.50	863.97	678.33
80	than	c	1342798	1352.23	0.01	0.00	320731	0.98	194861	191237	95559	135295	130424	221692	193224	180508	1568.25	1486.91	746.12	1072.62	1102.28	1758.19	1587.16	1506.86
81	look	v	1338475	1347.88	0.16	0.01	259517	0.97	136628	119046	338534	198569	309088	113272	87321	36017	1099.59	925.61	2643.26	1574.25	2612.26	898.33	717.26	300.67
82	way	n	1260011	1268.86	0.03	0.01	297006	0.99	188996	173769	185472	184831	165747	146162	113462	101572	1521.05	1351.10	1448.16	1465.34	1400.81	1159.18	931.99	847.91
83	more	r	1248955	1257.73	0.04	0.01	308986	0.97	199024	194235	76396	132310	103886	193657	147020	202427	1601.76	1510.22	596.50	1048.95	877.99	1535.85	1207.64	1689.84
84	these	d	1223310	1231.91	0.19	0.00	273148	0.97	160350	169935	124537	206679	67159	153009	85779	255862	1290.51	1321.29	972.38	1638.55	567.59	1213.48	704.60	2135.91
85	no	a	1206112	1214.59	0.13	0.01	279919	0.99	179333	176499	218765	135402	154984	120182	113671	107276	1443.28	1372.32	1708.11	1073.46	1309.85	953.14	933.70	895.53
86	thing	n	1202004	1210.45	0.03	0.01	255153	0.97	194000	160148	227123	250294	144340	100469	90114	35516	1561.32	1245.19	1773.37	1984.33	1219.89	796.80	740.20	296.48
87	well	r	1189096	1197.45	0.56	0.01	229982	0.95	107253	91227	388128	341826	96536	67602	49371	47153	863.18	709.31	3030.49	2709.99	815.87	536.14	405.54	393.63
88	because	c	1167024	1175.22	0.14	0.00	269757	0.97	191019	161336	139670	259657	92368	115700	107671	99611	1537.33	1254.43	1090.54	2058.55	780.65	917.59	884.42	831.54
89	also	r	1142799	1150.83	0.07	0.00	311270	0.96	187510	191043	31332	136624	43791	174466	164618	213415	1509.09	1485.41	244.64	1083.15	370.10	1383.65	1352.19	1781.57
90	two	m	1139973	1147.98	0.10	0.01	297686	0.99	114090	129714	134079	143981	145928	156675	178881	136625	918.20	1008.56	1046.88	1141.48	1233.31	1242.55	1469.35	1140.53
91	use	v	1126042	1133.95	0.05	0.00	270507	0.97	174147	195473	92274	95433	68960	168245	106461	225049	1401.54	1519.85	720.47	756.59	582.82	1334.31	874.48	1878.69
92	tell	v	1119692	1127.56	0.07	0.01	230854	0.98	103321	107609	315669	173464	199281	98630	91607	30111	831.53	836.69	2464.73	1375.22	1684.22	782.21	752.47	251.36
93	good	j	1111721	1119.53	0.17	0.01	251001	0.98	150865	127122	304144	182936	113536	99431	88870	44817	1214.17	988.40	2374.74	1450.31	959.55	788.56	729.99	374.13
94	first	m	1101803	1109.54	0.12	0.01	300695	0.98	137971	150482	105668	154995	109886	155150	165042	122609	1110.40	1170.03	825.05	1228.80	928.70	1230.46	1355.67	1023.53
95	man	n	1091176	1099.05	0.12	0.02	190702	0.98	101002	122971	257542	127193	219772	104329	92261	66314	812.87	956.13	2010.88	1008.38	1857.40	827.41	757.84	553.58
96	day	n	1068902	1076.41	0.07	0.02	271436	0.98	136801	137205	142392	157774	156684	142639	140646	54761	1100.98	1066.80	1111.79	1250.83	1324.22	1131.24	1155.28	457.14
97	find	v	1051936	1059.33	0.03	0.01	275832	0.99	136374	142946	173614	111062	129174	141065	102869	114832	1097.54	1111.44	1355.57	880.50	1091.72	1118.75	844.98	958.61
98	give	v	1048189	1055.55	0.08	0.01	275605	0.99	140948	142316	196870	134451	130953	112170	104041	86439	1134.36	1106.54	1537.15	1065.92	1106.75	889.59	854.60	721.59
99	more	d	1037966	1045.26	0.05	0.01	304169	0.98	155984	148882	93367	139989	87082	156703	162360	93599	1255.37	1157.59	729.01	1109.83	735.97	1242.78	1333.64	781.36
100	new	j	1017175	1024.32	0.12	0.01	279365	0.98	138383	139748	77295	116980	71014	178910	163504	131341	1113.71	1086.58	603.52	927.41	600.18	1418.89	1343.04	1096.42
101	one	p	999446	1006.47	0.06	0.01	255317	0.99	140573	136513	178414	116681	151288	103540	78131	94309	1131.34	1061.42	1393.05	925.04	1278.61	821.15	641.78	787.28
102	us	p	992207	999.18	0.01	0.01	218530	0.98	132773	118719	217210	203482	120214	88739	63947	47180	1068.56	923.07	1695.97	1613.20	1015.99	703.77	525.27	393.85
